caption;created_at
Ngeliat F1 Singapore malem2, itu motoGP Mandalika bisa ga malem juga racenya? Biar ga panas 😭😭😭;2025-10-06 10.42.45
Oktober ini F1 Singapore + MotoGP Mandalika🥹;2025-10-02 17.12.42
WTS 2 tiket Mandalika MotoGP Premium Grandstand A (early bird). Untuk harga lgsg DM aja!;2025-09-10 21.18.07
"Tiba tiba penasaran helikopter yg ambil video Race di Mandalika ada ga ya di FlightRadar?
Ternyata ada 🤣
Routenya cuma muter2 aja, pusing jg ya jadi pilotnya🙄🤣";2025-10-05 14.31.48
"Ramai penonton tepuk tangan bahagia,
Sport wisata maju di Nusa Tenggara itu.
Nonton MotoGP ke Mandalika,
Ketemu Marquez ya foto dulu.";2025-10-04 13.32.50
MASYARAKAT Australia minta MotoGP Mandalika dihapus dari kalender MotoGP efek cedera Marc Marquez. Sejatinya, bukan faktor Marquez yang jadi permasalahan, namun kondisi gravel di Sirkuit Mandalika yang dinilai berbahaya sehingga membuat sang juara dunia MotoGP 2025 itu mengalami cedera parah.;2025-10-10 15.24.23
"MotoGP 2025 ✅ 

My first and probably the last. Sumpahhh bukan jiwa mak, nak 🫠";2025-10-27 09.18.17
Setelah MotoGP Mandalika 3-5 Oktober 2025, penonton ada yang baru bisa pulang ke luar Lombok, Rabu 8 Oktober 2025. Ada yang harus beli Rp 20 juta ke Jakarta. Ada yang lebih rendah tapi waktu tempuh hingga 23 jam. Karena tidak bisa langsung. Salah satunya mau pulang ke Denpasar harus BB ia Surabaya. Sepertinya dari Kupang ke Lombok via Surabaya.;2025-10-07 10.46.37
Review tiket 15jt motogp mandalika, gimana menurut kalian?;2025-10-04 14.45.52
Visualization of Lombok's natural scenery at the Mandalika MotoGP 2025;2025-10-05 20.20.28
MOTOGP2025 ✅️. Tahun depan kita pergi motogp mandalika indonesia pula.;2025-10-26 19.37.02
Anyone else here addicted to MotoGP?;2025-10-29 23.52.38
"Persiapan Race MotoGP Mandalika Indonesia 

#yamaha #motogp #mandalika #indonesia #granprix";2025-10-04 22.30.00
"Antusiasme luar biasa! MotoGP Indonesia 2025 di Mandalika membuat seluruh hotel di Lombok penuh bahkan sampai kekurangan kamar.

Fenomena ini menunjukkan betapa besar daya tarik MotoGP dalam mendatangkan wisatawan domestik maupun mancanegara, sekaligus mendorong pertumbuhan ekonomi daerah.";2025-10-04 22.13.13
"Bagian 1 : 
MOTOGP MANDALIKA & MOTOGP Sepang 2024

Nonton langsung atau tidak ??";2024-09-11 05.47.40
"Semua Tiket MotoGP Mandalika 2025 Berlaku Tiga Hari 

Semua tiket MotoGP Mandalika 2025 berlaku untuk tiga hari penuh (3–5 Oktober 2025)!

Mulai dari VIP Hospitality Premiere, VIP Deluxe, VIP Luxury Tent, Premium Grandstand, Regular Grandstand, hingga Festival – semuanya bisa kamu nikmati selama 3 hari!

#MotoGP #IndonesianGP #PertaminaGrandPrixofIndonesia";2025-08-30 09.50.23
Ada yg nonton motoGP mandalika besok?;2024-09-26 17.27.58
"DAY 2 MOTOGP 2025 🤩🏁✨
— rame banget, kerennn🔥

Hair ini yang kita tunggu tunggu guys. Ayo ayo berangkat ke Mandalika sekarang! See you at Pertamina Mandalika International Circuit ❤️

#indonesiangp #burnthelimits #indonesiamendunia #motogp #mandalika #lombok";2025-10-05 06.55.41
"MotoGp Seri Indonesia
Sirkuit Mandalika…😎
.
.
#pesonaindonesiaofficial #wonderful #indonesia #motogp #mandalika";2025-10-05 12.49.47
My first experience watching MotoGP Mandalika 2024 from 360 Hill was absolutely unforgettable! The energy was incredible, the atmosphere was so exciting, and the views were breathtaking. happy! #MotoGPMandalika #EpicVibes #360View;2024-09-29 18.58.22
Sensasi Mandalika! Luar biasa 🤩 #MotoGP #Mandalika #MotoGPIndonesia #BalapMotor #indonesia;2025-10-05 14.00.20
"Realita absurd
🇮🇩 ke Mandalika 5jt
🇲🇾 ke sepang 700rb
Sama-sama tempat nonton balapan, tapi kok rasanya dompet di Mandalika lebih berat dari pada nonton di Sepang 😭";2025-09-23 11.56.40
Memang kalau nonton MotoGP Mandalika harus diniatkan liburan bener2 liburan keliling Lombok. Untuk memaksimalkan nilai yg sdh dikeluarkan.;2025-09-24 08.05.32
"Ardi Aditama ( @f.arbi93 ) tampak sangar saat menjalani race di kelas Moto3 MotoGP Mandalika 2025 pada Minggu (5/10).

Perjuangan Ardi tidak mudah karena harus melalui rintangan berat karena berada di posisi ke-25 alias terbelakang. Para penonton dan tim Honda Team Asia tetap memberi semangat kepada sang pembalap muda tersebut.

#VOLIX

[Via VOLIX/GA]";2025-10-05 11.46.57
"Marco Bezzecchi sudah kembali ke garasi pasca insiden crash dengan Marc Marquez.

📸 GPRI

#GPRacingIndonesia #GPRI #RespectAllRiders #MotoGP #IndonesianGP #mandalika";2025-10-05 14.14.49
"Welcome legends,to Mandalika 
#motogp #mandalika  @valeyellow46";2025-10-01 15.08.05
"Halo, kita lagi mencari 500 UMKM yang mau dibantu pemasaran produknya di Bali & Lombok NTB. 

Kebetulan akan ada event internasional MotoGP Mandalika 2025 (3-5 Oktober).

Yang mau bisa langsung komen/DM ya!";2025-08-03 13.34.37
"Ekspresi datar pembalap Ducati Lenovo, Francesco Bagnaia, setelah gagal finis pada main race MotoGP Mandalika 2025 di Sirkuit Mandalika, Minggu (5/10/2025) siang WITA.

Bagnaia #BolacomID #blclpt #MotoGP";2025-10-05 19.47.58
"MotoGP Mandalika 2025 akan berlangsung pada 3–5 Oktober 2025 di Pertamina Mandalika International Circuit, Lombok Tengah, Indonesia. Ajang balap bergengsi ini menjadi seri ke-18 dari total 22 seri dalam kalender MotoGP 2025.

#motogp #arai #araihelmet #araiindonesia";2025-10-03 09.45.51
"Final Round Pertamina Mandalika Racing Series 2025 Sabtu, 1 November 🏆

Saksikan langsung di Pertamina Mandalika International Circuit

atau ikuti live streaming-nya di YouTube: Mandalika Racing Series 🎥";2025-10-28 16.11.39
"Telkom Hadirkan Pengalaman Terbaik Bagi Penggemar MotoGP Mandalika 2025

 https://www.netralnews.com/telkom-hadirkan-pengalaman-terbaik-bagi-penggemar-motogp-mandalika-2025/L1h5bWF3NFBzdlpadDRMMGJ5UFV3Zz09";2025-10-09 07.11.11
Morbidelli: MotoGP Mandalika Terasa Seperti Balapan Kandang  https://www.idntimes.com/sport/arena/morbidelli-motogp-mandalika-terasa-seperti-balapan-kandang-00-l8swn-qq1kr6?utm_source=threads&utm_medium=threads&utm_campaign=dlvr.it;2025-10-03 21.23.19
"PERSIAPAN UNTUK OPENING
MOTOGP MANDALIKA 2025.

#sirkuitmandalika #mandalika #motogpmandalika2025 #mandalikagp2025 #motogplombok";2025-10-03 19.34.51
Kan, di bilang juga apa pren😎;2025-09-29 16.26.41
Harga penginapan kalo pas ada event coba di cek lagi itu, denger2 penginapan ala kos2an sampe 5 jt per harinya. Kalo bener segitu, wajar sih motogp mandalika sepi, negara ini emg blm siap sama kemajuan;2025-09-30 08.28.22
"What an unforgettable and unexpected experience! Together with  @bankmandiri  #LoopingForLife, we proudly brought Indonesian spices to  @motogp  Mandalika 2025.
.
Grateful for the past 3 incredible days, it was such a joy to see visitors engage and happily enjoy our spiced drinks!
Thankyouu! 💛";2025-10-07 02.04.57
info tiket MOTOGP Mandalika✌🏼;2025-10-01 11.33.00
"Di MotoGP Mandalika 2025, Rayyan Arkan Fikha asal Riau tampil dengan tarian pacu jalur sebelum Sprint Race. Aksinya menarik perhatian Marc Márquez yang ikut menari dan menghadiahinya sepatu balap spesial.

#bukanmain";2025-10-05 13.37.21
"Free practice time MotoGP mandalika indonesia 2025 🇮🇩 first day ~
#MotoGP2025 #Mandalika #Indonesia ❤";2025-10-03 20.35.57
Seputaran MotoGP Mandalika 2025 pren to pren.. kadang ga penting event nya… lebih penting seseruannya..;2025-10-28 20.49.19
"Datang honeymoon pas lagi ada MotoGP Mandalika 2025, cussss beli tiket dan nonton 🤣
Berharap bisa foto dengan  @valeyellow46  &  @marcmarquez93  tapi apa daya hanya butiran debu wkwkwkw...";2025-10-06 10.26.36
"Bela-belain terbang jauh ke Nusa Tenggara Barat buat nonton Moto GP Mandalika.. 
Modal outfit oneset dari shope aja...
Kmu ada yang nonton Moto GP juga ga? 😁😁😁😁
#mandalika #motoGP";2025-10-05 14.48.23
WTS 2 tiket Mandalika MotoGP Premium Grandstand A (early bird). Untuk harga lgsg DM aja!;2025-10-02 06.55.29
"Bentar lagi motoGP Mandalika 
Jagoan aku fabio  Quartarao . .";2025-10-03 14.52.10
MotoGP Sepang 2025.... Before and after 🤣🤣🤣 #KeithOnTheBike;2025-10-31 16.04.23
Begini detik detik Sang legenda di kerumuni fans di sirkuit motogp mandalika😍😍✌️;2025-10-04 17.46.54
"Mandalika MotoGp 2025 🇮🇩
#faldomaldini #motogp";2025-10-04 10.52.24
"Ini bukan kontainer biasa. Karena isinya BBM buat kendaraan operasional MotoGP Indonesia (3-5/10). Kapasitasnya mencapai 15 ribu liter. Tapi infonya berisi 9.000 liter. 

Pas Mimin ke sana, isinya masih 8.000 liter. Untuk mengisinya, perlu prosedur khusus. Cukup modal kupon dari panitia MotoGP

#motogp#motogpindonesia #motogpmandalika #bensin #bbm #pertamax #pertamaxturbo #pertamina #mandalika #sirkuitmandalika #gridoto";2025-10-07 19.07.55
"MotoGP Mandalika 2025
📍 3–5 Oktober 2025 | Sirkuit Mandalika
⠀
🎟️ Tiket:
	•	VIP Deluxe & Royal Box = SOLD OUT
	•	Premium Grandstand A: Rp 1,75 jt
	•	Premium Grandstand B, C, J, K: Rp 900 rb
	•	Regular Grandstand: Rp 400 rb
✨ Diskon 50% untuk warga NTB (mulai Rp 200 rb, s.d 5 Okt)
⠀
📅 Race Day: Minggu, 5 Okt | 14.00 WIB
⠀
📲 Cari info otomotif gampang di  handOver.id 
👉 Download sekarang

#Motogp2025 #motogGP #handover_id";2025-10-01 12.50.08
"Latepost dari seputaran MotoGP Mandalika 2025

Jadi kalo saya teh serunya ke GP bukan balapan.. tapi ketemu temen-temen kaya ieu.. itu yg seru… kira2 siapa ajakah mereka? Kalian tau? Coba mentioned dah di komen.. orang-orang hebat semua eta!!

🔥🔥🔥🔥🔥";2025-10-28 20.45.04
"Fakta menarik MotoGP Mandalika. 
✅ Setiap tahun juaranya berbeda 
2022: Miguel Oliviera
2023: Pecco Bagnaia 
2024: Jorge Martin 
2025: Fermin Aldeguer 

✅ Babang Markes belum pernah finish di Race MotoGP Mandalika. Sudah 4 tahun tetap crash. Ini sirkuit keramat bagi Markes. Tahun pertama geger otak, tahun ini tangan kanan. 

Selamat kepada Fermin, Acosta dan Alex Marquez yang naik podium hari ini. 

Sampai jumpa di MotoGP Mandalika 2026.";2025-10-05 15.26.07
Salah satu momen memotret terbaik, tiba2 dapat kesempatan motret MotoGP Mandalika 2024;2024-10-15 13.37.00
"Sejauh apa sih jarak Pecco dengan barisan rider di depannya saat Sprint di Sirkuit Pertamina Mandalika tadi?

Beneran sejauh ini jaraknya 😢

#IndonesianGP #MotoGP #PeccoBagnaia #Ducati";2025-10-04 17.07.41
"anggap aja lg di sirkuit mandalika🤭
kalian ada yg suka Moto GP juga? coba dong komen siapa pembalap andalan kalian..

makasih buat geminai akhirnya bisa nonton di sirkuit nya langsung karna biasanya cuma nonton lewat tv😂 

prompt by me🤎 yg mau nanti aku share dikomen seperti biasaa";2025-10-19 12.01.15
"𝔾𝕌𝕃𝔽 𝕋ℝ𝔸ℂ𝕂ℍ𝕆𝕌𝕊𝔼 𝕄𝔸ℕ𝔻𝔸𝕃𝕀𝕂𝔸
Rencananya,  @trackhousemotogp  akan pakai Livery Gulf lagi di MotoGP Mandalika dan Sepang 2025
Nah mereka akan pakai salah satu dari 3 desain ini sesuai pilihan dari Fans.
Yang mana yang menurut kalian paling Oke Sob: atas, tengah atau bawah ?
#MotoGP";2025-07-08 19.01.10
"MotoGP Mandalika itu efeknya gede banget, bukan cuma race, tapi juga bikin wisata rame, hotel penuh, sampai UMKM ikut sejahtera.

Kamu kalau ke Mandalika, paling pengen ngerasain apa? Nonton langsung balapan, jajan kuliner lokal, atau jalan-jalan explore NTB?

#MyPertamina #ENERGIuntukNEGERI #PertaminaGP2025 #MotoGP2025 #Call135";2025-09-29 17.32.00
"Tabrakan antara Marc Marquez dan Marco Bezzecchi terjadi pada lap pertama di MotoGP Mandalika. Dari kejadian tersebut, terlihat motor dari Bezzecchi mengalami kerusakan cukup parah.

Tidak hanya itu, Francesco Bagnaia dan Jack Miller juga jatuh dalam balapan hari ini.

#MotoGP #GPMandalika #okezone #okezonecom";2025-10-05 15.23.23
Buat teman-teman yang sedang berkunjung ke lombok dalam rangka nonton MotoGP Mandalika, jangan lupa untuk datang ke Desa Sembalun, pemandangannya indah dan adem. Yuk ke Sembalun🙌 #sembalun #lombok #motogp #gpmandalika #indonesia;2025-10-01 07.47.55
"Pembalap Ducati Lenovo, Marc Marquez, lagi-lagi mengalami insiden di Sirkuit Mandalika. Pada main race MotoGP Mandalika 2025, Minggu (5/10/2025) siang WITA, Marquez terjatuh dari motornya setelah bersenggolan dengan pembalap Aprilia Racing, Marco Bezzechi. Berdasarkan hasil pemeriksaan medis, Marquez kembali mengalami cedera dislokasi bahu kanan.

MarcMarquez #BolacomID #blclpt #MotoGP";2025-10-05 19.09.49
"Marc Marquez (Ducati Lenovo) terjatuh di tikungan 10 saat FP2 MotoGP Mandalika, Jumat (3/10). Sebelumnya, Somkiat Chantra dan Johann Zarco juga jatuh di sektor satu. Ketiganya akhirnya kembali ke pit usai insiden.

#bukanmain";2025-10-03 21.02.54
"Mandalika
Marc Marquez gagal finis di MotoGP Mandalika 2025 karena jatuh ditabrak Marco Bezzecchi di awal. 

Rider Ducati itu selanjutnya dilaporkan patah tulang bahu.

MotoGP Mandalika 2025 sajikan balapan utama di Sirkuit Mandalika, Lombok pada Minggu (5/10) siang WIB. Fermin Aldeguer jadi juaranya, sang rookie raih titel pertama di musim ini.

#mandalika #motogp #MarcMarquez #Bezzecchi #olahraga #mediagram";2025-10-05 18.10.29
Next week at Mandalika International Circuit 🇮🇩 !!!;2025-09-26 08.51.57
Apabila mendapatkan kritik dan saran, orang bodoh akan marah dan tidak nyaman, sedangkan orang pintar akan evaluasi diri.;2025-10-27 18.47.56
masalahnya juga mayoritas masyarakat nya begitu, contoh lain nya ya diluar topi, kemarin di balapan motogp mandalika banyak rider yg ngeluh soal keamanan gravel sirkuit yg dinilai berbahaya, dan isi komennya masyarakat nya malah hujat para rider dan terlalu buta akan kritikan, mayoritas pejabat di indo cerminan mayoritas masyarakatnya;2025-10-27 20.20.37
"MotoGP Seri Mandalika 2025 tidak hanya dinikmati pecinta otomotif, tapi juga memberikan manfaat ekonomi yang besar untuk masyarakat di Lombok, NTB dan Indonesia. 

Dengan event internasional seperti MotoGP ini kita terus dorong perkembangan sport tourism di Indonesia 🇮🇩";2025-10-05 15.04.07
"Here, sports and tourism grow stronger together. MotoGP Mandalika bukan hanya soal adrenalin di lintasan balap, tapi juga tentang semangat masyarakat dan peluang ekonomi yang ikut tumbuh.

Mandalika adalah buktinya, ketika sport tourism hadir, komunitas bergerak, UMKM hidup, dan pesona Indonesia semakin kuat di mata dunia.

Sudah siap ramaikan Mandalika weekend ini?

#CatatanNiLuhPuspa
#WakilMenteriPariwisata";2025-10-03 12.46.58
MotoGP Mandalika 2025 Kereennn....🏍️🏍️;2025-10-05 15.06.42
"Kutukan Mandalika Belum Berakhir! 😱 Marquez Crash Lagi di Lap Pertama! 💥

Kutukan Mandalika kembali memakan korban! 💥
Di lap pertama, Marc Marquez terlibat crash keras setelah bersenggolan dengan Marco Bezzecchi di sektor dua.
Motor terpental, balapan baru mulai — tapi mimpi Marquez langsung pupus. 😔
Sejak MotoGP Mandalika pertama digelar, sirkuit ini belum pernah memberi keberuntungan bagi Marquez.
Apakah Mandalika benar-benar jadi sirkuit “terkutuk” baginya? 👀🏍️";2025-10-06 19.04.12
Ultah anak;2025-09-30 17.51.09
Alasannya apa pak? 🤭 Padahal kan kesempatan nonton MotoGP Mandalika cuma dapet 1 kali ini aja.;2025-09-30 17.54.08
Orang pd nntn motoGP mandalika napa pake headset dah?Sebising itu kah suaranya.?justru klo kita nntn lgsg slh satu euforianya it selain nntn lgsg balapannya jg dgrn suara motor ngebut2nya gt yak.?😅gagal faham weh,.;2025-10-07 18.20.05
"MotoGP Mandalika vibes!

Udah kebayang serunya Marc Marquez ngebut di Lombok? 🌴⚡️
Sekarang giliran kamu bikin versi kreatifnya di YukYuk ✨

Mau bikin poster MotoGP? Meme lucu? Atau fanart rider favoritmu?

➡️ Tinggal generate, edit, dan share!

Yuk langsung coba dan klik link di bio!";2025-10-04 12.06.43
ALHAMDULILLAH 😍 PERTAMA KALINYA !!! Gue nginjek aspal sirkuit mandalika ❤️‍🔥Jujur gue seneng bgt bisa sampe kesini dan makasih banyak untuk  @audiotechnicaind  &  @doss.id  yg udh beri gue kesempatan nyaksiin langsung MOTOGP MANDALIKA 🇲🇨❤️‍🔥. Sekali lagi gue bener2 masih ga nyangka bgt bisa sampe sini 🥹 ALHAMDULILLAH 😍;2025-10-06 18.02.41
"Dua hari menjelang MotoGP 2025 di Pertamina Mandalika International Circuit! 🏍️🏆🏁

We're ready!";2025-09-30 19.09.47
"MotoGP Mandalika di infokan sepi sampai saat ini masih belum penuh hotelnya, ya gimana ga didenger aspirasi penonton lokalnya ya begini. 

Dimurahin aja dulu tar pelan-pelan naik kalau traffic nya kenceng, orang juga lumrah pada akhirnya ketimbang langsung kena pakang di awal kapok deh 😂

Terutama harga tiket pesawat, ke KL jauh lebih murah dari pada ke lombok";2025-09-26 20.00.52
"- Kasus pemalsuan Car Pass MotoGP Mandalika 2025 mencoreng citra penyelenggaraan ajang balap internasional tersebut. Car Pass yang seharusnya digunakan untuk mempermudah akses dan parkir kendaraan di area dalam sirkuit justru beredar dalam bentuk palsu dan diperjualbelikan secara bebas.

Video  @monjenkspeed  
#mnow #kasus #dugaan #pemalsuan #carpass #motogp #motogpmandalika";2025-10-06 14.06.53
"UMKM harus hati-hati sama  EO satu ini 👉 folkaland 🚨
Karena jujur, jatohnya ini morotin UMKM.

Kami ikut event Folkaland di  @centralparkmall  tgl 29 Sep - 5 Okt
Deck EO sangat promising, tapi ternyata under-deliver.
👉 Klaim mereka: expected audience 80.000 weekdays & 120.000 weekend di Central Park dengan minimum sales guarantee 8,5 juta per batch.
👉 Ada booking fee sebesar min. sales guarantee + sharing profit 20%.
Kita pikir, “oh berarti mereka pede banget event bakal rame.”";2025-10-06 19.30.06
"bkn mao membela eo ya, krn pernah tinggal di medit
CP jarang bngt sepi klo weekend, ini yg bkin eo kepedean sptnya...

Dan kynya kmrn itu emang lg bnyk bngt event berbarengan sptnya. ada motogp mandalika, ada F1+Gdragon di sg, ada mariah carey, ada bridestory di bsd.";2025-10-06 21.10.19
Paling seru memang MotoGP Mandalika. Ga busa meleng nontonnya.;2025-10-05 14.18.29
"Moment Dika bocah penari pacu jalur bersama Marc Marquez di Mandalika. 

Warna warni MotoGP Mandalika 2025.";2025-10-04 18.19.07
"Sepang circuit 🇲🇾
➡️ Unlocked 🔓

#ForzaDucati #DucatiLenovoTeam";2025-10-24 18.02.49
"Motogp Mandalika 2025 ! seruu banget euy..
Thankyou Astra Honda Motor, terbaik 🔥";2025-10-06 19.33.17
"Seri ke-18 MotoGP 2025 akan digelar di Pertamina Mandalika International Circuit pada 3-5 Oktober. Tahun 2025 menjadi musim keempat MotoGP digelar di Mandalika.

MotoGP di Mandalika juga memberikan manfaat ekonomi melalui Sport Tourism sekaligus membuktikan kapasitas Indonesia sebagai tuan rumah event berkelas dunia secara profesional dan berkelanjutan.

Event internasional ini melibatkan SDM lokal, termasuk marshal yang akan bertugas 100% berasal dari NTB.";2025-09-29 22.32.45
"MOTOGP 2025 - Final Day

#motogp2025 #motogp";2025-10-26 22.53.39
Tahun ini, 3-5 Oktober 2025, apakah teman-teman akan ke Lombok untuk menonton MotoGP di Sirkuit Mandalika?;2025-02-19 15.10.59
"Momen tak biasa terjadi, Dirut Pertamina tampil sebagai drummer Dewa 19...

Dalam momen spesial di MotoGP Mandalika 2025, ia naik ke panggung bersama Dewa 19 dan menabuh drum untuk lagu “Separuh Nafasku”.

Gimana menurut kalian, cocok? 

#musikku";2025-10-08 18.51.53
Let’s see what happened in motogp 2023, there is my second time to see motogp mandalika. So excited;2023-10-15 05.53.14
"Mendampingi Juara MotoGP 2025, Marc Marquez bertemu dengan Bapak Presiden Prabowo Subianto menjelang MotoGP 2025 di Pertamina Mandalika International Circuit pada 3–5 Oktober.

Bapak Presiden menyampaikan MotoGP Mandalika memiliki peran penting untuk mengembangkan sport tourism di Indonesia. Selain itu, Bapak Presiden juga berpesan agar event MotoGP di Mandalika juga harus menjadi penyemangat dan memacu atlet Indonesia untuk bisa tampil di kelas tertinggi balap motor internasional.

Credit: BPMI";2025-09-30 21.17.54
ReTake Motogp Mandalika 2025🔥;2025-09-28 16.11.05
"Di tengah meriahnya MotoGP Mandalika 2025, momen unik terjadi saat seorang coach senior asal Indonesia diwawancarai oleh bule asal Italia.
Dengan percaya diri, sang coach menjawab dalam bahasa itali—tapi  justru bikin warganet salah fokus.
Banyak yang mengira ia berbicara dengan ‘bahasa sekali pakai’, campuran antara italia dan Indonesia yang terdengar spontan tapi lucu. 
Momen singkat ini pun viral dan jadi hiburan tersendiri di ajang balap paling bergengsi tahun ini

SC Ojie lombokguide";2025-10-11 09.06.04
"Never done 🙏🏽📈

——————————
📸Shot for  @fabioquartararo20  
📍Round 20 in Sepang 🇲🇾

 @yamahamotogp  
 @oakleymotorsports  
——————————
#FQ20 #Sepang #MalaysianGP #MotoGP2025";2025-10-28 20.12.46
"Oiya, ini beneran saya bareng  @leoberts  beli pesawat kecil jenisnya itu microlight, yang license terbangnya itu dibawah FASI (Federasi Aero Sport Indonesia) 

Konteksnya bikin bisnis campur hobi bareng temen yang paham aviasi, joyflight tour pake pesawat gini buat megang awan di seputaran pantai di Lombok. Akunnya baru netes di  @flylombok.id  

Saya sendiri belum punya ijin terbang jadi sementara bonceng aja dulu 😅

Besok rencana terbang perdana pas acara Mandalika MotoGP. Wish us luck yak 🙏";2025-10-02 14.25.59
"Runner-up WorldSBK 2025 Nicolo Bulega menjalani debutnya dengan motor Ducati Desmosedici GP di Sirkuit Jerez kemarin.

Seperti yang kita ketahui, musim depan Bulega tetap menjadi pembalap  Aruba.it  Racing Ducati, sekaligus menjadi test rider Ducati MotoGP demi  transisi yang mulus untuk kepindan ban Michelin ke Pirelli MotoGP 2027.

📸 Michelin

#GPRacingIndonesia #GPRI #RespectAllRiders #MotoGP #ducati #nicolobulega";2025-10-31 07.10.13
"Logistik MotoGP Mandalika sudah mendarat di Lombok.

🎥  @itdc_id 

#sirkuitmandalika #mandalika #motogpmandalika2025 #mandalikagp2025 #motogplombok";2025-09-30 08.03.52
Baru ngeh, kalo nonton MotoGP di mandalika bayar mahal2 liat motornya cuma sekelibat gini apa gak rugi ya;2025-07-22 22.32.01
Fermin Aldeguer Win Motogp Mandalika Indonesia 🇮🇩;2025-10-05 15.07.40
"📰 BREAKING NEWS! 🗞️ A New Generation Rises 🇯🇵🇮🇩

Veda Pratama and Zen Mitani will represent Honda Team Asia in 2026 Moto3 World Championship 🏍️

Two rising stars, one unstoppable team 🏁🔥

#Moto3 #HTA #MotoGP";2025-10-31 15.06.59
"Ayo liburan setelah nonton MotoGP Mandalika, Sob‼️🏍️

Apalagi kalau liburannya ke desa-desa wisata di Mandalika, pasti dapet pengalaman dan bikin vakansi kamu makin berkesan, deh😎

Tag temen kamu yang bakalan kamu ajak keliling desa-desa wisata di sekitaran Mandalika🙌

#DiIndonesiaAja #WonderfulIndonesia #PertaminaGrandPrixofIndonesia #IndonesianGP #MotoGP2024 #ThrillingMandalika";2024-10-01 09.09.15
"Siapa yang sudah siap nonton MotoGP di Mandalika? ✋🏼🏁🏍️

Bagi yang belum beli tiket MotoGP Mandalika, masih ada kesempatan. Let's go 🏍️💨";2025-10-01 11.03.26
"Battle mode 🔛 for El Diablo, as Monster Energy  @yamahamotogp  rider  @fabioquartararo20  fought fiercely in the opening laps with Franco Morbidelli, before crossing the line in sixth place in today’s MotoGP Sprint Race. 
Ultimately Quartararo finished in fifth position overall due to a post-race penalty for Aldeguer.

#YamahaRacing | #MonsterEnergyYamaha | #MotoGP";2025-10-25 20.07.33
